"transaction_id","account_id","date","amount","currency","type","status","description","merchant","category"
"bee04bf5-b902-4212-a184-6f0005e258d6","ACC-STUDENT-001","2025-01-13T18:47:57Z",1200.00,"NPR","DEBIT","COMPLETED","Daily Commute","Bus","Transport"
"04034531-9dfd-4e50-b2b4-929008270b77","ACC-STUDENT-001","2025-01-13T08:05:13Z",412.58,"NPR","DEBIT","COMPLETED","Meals","Canteen","Food"
"256d55c6-2bbb-4cb0-8bd9-a3633fe1104e","ACC-STUDENT-001","2025-01-14T15:37:17Z",298.86,"NPR","DEBIT","COMPLETED","Daily Commute","Bus","Transport"
"e0745e78-1d09-470f-813a-a0a14f40600a","ACC-STUDENT-001","2025-01-14T14:21:17Z",6932.01,"NPR","DEBIT","COMPLETED","Shopping","Local Store","Shopping"
"65276355-f387-4ca2-9cdd-4c50398e63ce","ACC-STUDENT-001","2025-01-15T21:22:38Z",124.37,"NPR","DEBIT","COMPLETED","Daily Commute","Pathao","Transport"
"0248129f-22ea-4a71-a3fd-3ed6930d36e1","ACC-STUDENT-001","2025-01-15T16:07:59Z",268.20,"NPR","DEBIT","COMPLETED","Meals","Cafe","Food"
"16af4c42-8bfd-4f57-93c4-9515247d030a","ACC-STUDENT-001","2025-01-16T19:04:02Z",1330.17,"NPR","DEBIT","COMPLETED","Daily Commute","Bus","Transport"
"6c1647d9-3bb3-4766-a795-787e1fc044cd","ACC-STUDENT-001","2025-01-16T21:14:55Z",530.19,"NPR","DEBIT","COMPLETED","Meals","Canteen","Food"
"1675b754-301a-4617-ac6f-050f2ca1be3c","ACC-STUDENT-001","2025-01-17T12:44:59Z",89.15,"NPR","DEBIT","COMPLETED","Daily Commute","Local Taxi","Transport"
"119e0e24-c1d7-4c4d-a131-01e78f5da4f5","ACC-STUDENT-001","2025-01-17T10:34:46Z",201.22,"NPR","DEBIT","COMPLETED","Meals","Restaurant","Food"
"7ff3e751-ec20-4f97-ad7a-c81d2eae0017","ACC-STUDENT-001","2025-01-18T21:49:49Z",211.05,"NPR","DEBIT","COMPLETED","Meals","Cafe","Food"
